,Unnamed: 0,Date,Broke Lock,Time of Peak,Vert. Vel.,Horiz. Vel.,Ratio V/H,Time of Lost Lock (LL),LL Vert. Vel.,LL Horiz. Vel.
9,9,2019-07-06 09:46:00,Yes,1246441578,253.64346,2041.715514505476,0.1242305591537981,1246440378,29.702187,103.97597881544948
10,10,2019-07-06 14:50:00,No,1246459818,439.4515,935.0913150347798,0.4699557069286383,-,-,-
11,11,2019-07-07 05:56:00,No,1246514178,124.10034,399.611558258334,0.3105524288158196,-,-,-
12,12,2019-07-07 16:28:00,Yes,1246552098,3506.0667,5706.980545320025,0.6143470565840861,1246550898,809.72266,2097.8408723744633
13,13,2019-07-08 08:18:00,No,1246609098,254.44434,491.3321385212509,0.5178662661184638,-,-,-
14,14,2019-07-08 20:11:00,Yes,1246651878,292.8289,722.0158301636259,0.405571301578856,1246650678,62.978302,283.96528475102394
15,15,2019-07-12 01:50:00,No,1246931418,198.00122,700.1239654352978,0.2828088021196274,-,-,-
16,16,2019-07-12 13:32:00,Yes,1246973538,220.46301,722.4143833473939,0.305175277627306,1246972338,76.42117,424.85699929615146
17,17,2019-07-12 21:49:00,Yes,1247003358,430.4897,1270.5695922258772,0.3388163093418885,1247002158,216.01898,1135.3675273581778
18,18,2019-07-14 02:13:00,Yes,1247105598,336.2651,885.316612137231,0.3798246812383051,1247104398,61.956493,591.4120321566112
19,19,2019-07-14 07:15:00,Yes,1247123718,3819.5466,4099.080322580832,0.9318057465131998,1247122518,680.2672,2647.555199674637
20,20,2019-07-14 10:43:00,Yes,1247136198,14195.65,25702.76449440877,0.5523005123860525,1247134998,8724.41,38346.68956440784
21,21,2019-07-15 09:23:00,Yes,1247217798,786.5593,1738.0450823447964,0.4525540263540534,1247216598,152.30147,405.7960163352824
22,22,2019-07-16 23:19:00,No,1247354358,220.81557,523.5389804755303,0.4217748405275063,-,-,-
23,23,2019-07-17 15:24:00,Yes,1247412258,1129.2236,3198.0774755188218,0.3530945102625467,1247412078,464.18588,2726.9144585111985
24,24,2019-07-18 01:37:00,No,1247449038,267.669,661.8646424348357,0.4044165269432012,-,-,-
25,25,2019-07-19 10:42:00,No,1247568138,145.17812,294.405703767502,0.4931226472251028,-,-,-
26,26,2019-07-20 16:13:00,No,1247674398,127.20134,251.41458160617373,0.5059425717767375,-,-,-
27,27,2019-07-21 18:40:00,No,1247769618,197.4684,616.881697327798,0.3201074060964876,-,-,-
28,28,2019-07-23 11:44:00,No,1247917458,217.53621,387.6220487530611,0.5612070074439544,-,-,-
29,29,2019-07-26 01:01:00,No,1248138078,256.98352,599.7396144943187,0.4284918217661514,-,-,-
30,30,2019-07-27 01:01:00,Yes,1248224478,729.9222,1431.7618562102043,0.5098069883856693,1248223938,438.81256,1058.686532419366
31,31,2019-07-27 19:28:00,No,1248290898,207.43716,704.8310832372182,0.2943076219727172,-,-,-
32,32,2019-07-29 21:40:00,No,1248471618,156.7565,356.76066650974417,0.4393884043708571,-,-,-
33,33,2019-07-31 06:08:00,Yes,1248588498,4012.1758,7608.555378764014,0.5273242554293882,1248587958,920.1124,760.780791691557
0,0,2019-08-01 19:11:00,Yes,1248721878,1620.5948,3657.594935755632,0.4430766195998128,1248720678,866.7362,4074.12274826703
1,1,2019-08-01 21:11:00,Yes,1248729078,530.32086,1131.3474555306789,0.4687515381835048,1248727878,316.1276,840.2574309589711
2,2,2019-08-02 06:45:00,No,1248763518,269.65887,436.6667684635418,0.6175392529841993,-,-,-
3,3,2019-08-02 13:37:00,Yes,1248788238,2499.2493,4028.767174335097,0.6203508894535393,1248787038,503.0342,1574.064070787495
4,4,2019-08-07 22:46:00,No,1249253178,396.57907,1011.0417027655174,0.3922479843464729,-,-,-
5,5,2019-08-08 12:23:00,Yes,1249302198,810.7717,1587.4676056210446,0.5107327526742268,1249301838,224.33383,1001.0034071778227
6,6,2019-08-09 18:44:00,No,1249411458,180.03647,500.6979557621546,0.3595710106823809,-,-,-
7,7,2019-08-12 20:50:00,Yes,1249678218,186.47415,415.3235551469077,0.4489852494256932,1249677918,163.5324,155.7292024506958
8,8,2019-08-14 21:59:00,Yes,1249855158,2324.562,8072.90623153304,0.287946116718188,1249854018,236.802,427.0102816420585
9,9,2019-08-15 11:37:00,No,1249904238,125.07005,267.1507335376585,0.4681628545196178,-,-,-
10,10,2019-08-16 13:08:00,No,1249996098,172.28754,685.6778934893885,0.251265997687683,-,-,-
11,11,2019-08-16 15:48:00,Yes,1250005698,779.5142,2775.9425885375404,0.2808106346358821,1250005578,708.71857,2762.1565608278547
12,12,2019-08-17 12:56:00,No,1250081778,190.04918,534.8517973277541,0.3553305438058367,-,-,-
13,13,2019-08-18 19:12:00,No,1250190738,358.54395,692.1708204006962,0.517999227116277,-,-,-
14,14,2019-08-20 14:03:00,Yes,1250344998,440.57614,830.3728200407256,0.5305763018331837,1250344818,384.97058,977.5725867399221
15,15,2019-08-21 16:29:00,No,1250440158,165.61435,348.14293619685134,0.4757079141377617,-,-,-
16,16,2019-08-22 20:24:00,No,1250540658,565.52484,1298.9480630088372,0.435371402525547,-,-,-
17,17,2019-08-28 00:58:00,Yes,1250989098,2136.552,6555.695273402735,0.3259077658274105,1250987898,414.4505,1137.7659158107435
18,18,2019-08-29 00:45:00,Yes,1251074718,754.2743,1824.845734217877,0.4133359252546789,1251074538,290.5716,1283.705622894617
19,19,2019-08-29 15:32:00,Yes,1251127938,27593.623,68058.27971236677,0.4054410883821679,1251126738,10.009536,85.69663455124127
20,20,2019-08-30 06:23:00,No,1251181398,385.18103,887.9618030134139,0.4337810801014616,-,-,-
21,21,2019-08-31 12:18:00,Yes,1251289098,131.9943,205.1297266059437,0.6434674397707476,1251287898,14.925292,61.896991931939155
22,22,2019-08-31 16:32:00,No,1251304338,169.85007,361.8116122724251,0.4694433905347179,-,-,-
0,0,2019-09-01 00:45:00,No,1251333918,130.26814,297.60018762165123,0.4377286890881067,-,-,-
1,1,2019-09-01 05:01:00,Yes,1251349278,647.1105,1438.2139475643785,0.449940359079318,1251349218,640.4894,1485.492894557591
2,2,2019-09-01 16:21:00,Yes,1251390078,565.7161,1349.3686409748302,0.4192450326927023,1251389898,263.03055,1439.6255137376677
3,3,2019-09-02 13:43:00,No,1251466998,249.66147,847.7983611361293,0.2944821333051767,-,-,-
4,4,2019-09-02 23:12:00,Yes,1251501138,2708.4521,6558.531960884082,0.4129662119745017,1251500718,936.1424,2128.6921785780605
5,5,2019-09-05 12:23:00,Yes,1251721398,350.41812,1359.973686412932,0.2576653677206528,1251721278,312.7742,1491.0305716409976
6,6,2019-09-05 15:27:00,Yes,1251732438,10641.14,24775.37737692302,0.4295046585208292,1251731778,786.762,1313.9615443287294
7,7,2019-09-06 16:28:00,No,1251822498,256.9545,592.0486729925535,0.4340090802014716,-,-,-
8,8,2019-09-08 04:33:00,No,1251952398,114.200005,425.42991854233713,0.2684343531627648,-,-,-
9,9,2019-09-09 01:51:00,No,1252029078,153.99326,289.5494127808613,0.5318375835096104,-,-,-
10,10,2019-09-09 04:41:00,No,1252039278,140.58163,394.6223376110957,0.3562434677444555,-,-,-
11,11,2019-09-09 18:30:00,No,1252089018,371.20636,924.4422516080642,0.4015462938374872,-,-,-
12,12,2019-09-09 22:16:00,No,1252102578,130.37167,298.4145439782968,0.4368810858276456,-,-,-
13,13,2019-09-10 06:45:00,No,1252133118,118.477776,213.06410922335584,0.5560663240367684,-,-,-
14,14,2019-09-10 14:31:00,Yes,1252161078,117.57108,304.6843113032368,0.385878352243045,1252159878,60.835976,227.08632406385593
15,15,2019-09-10 21:01:00,Yes,1252184478,2732.4578,9967.56394263814,0.2741349657473874,1252184178,1035.7372,6915.65378766775
16,16,2019-09-14 17:35:00,No,1252517718,276.4739,807.544522210308,0.3423636621833195,-,-,-
17,17,2019-09-14 21:39:00,No,1252532358,179.87117,374.0371248493803,0.4808912218872169,-,-,-
