,ETMX_Z,ITMY_Z,ETMY_Z,ETMX_X,ITMY_Y,ETMY_Y
5411,35.03371,30.279573,33.183327,78.01523,77.91223,89.50432
5412,38.966442,33.366634,35.96111,82.17184,86.33244,101.103165
5413,40.09311,36.36108,37.332844,89.878914,81.071884,95.9041
5414,39.662575,36.609993,37.42308,93.157036,70.17552,88.85061
5415,40.074757,36.78424,38.5941,91.946144,69.434494,82.81818
5416,37.452015,35.05624,37.63503,100.38858,75.64285,84.43076
5417,34.416344,32.76216,36.163544,91.543976,76.18694,84.68462
5418,34.44404,32.85895,38.513393,96.10154,71.47329,81.84494
5419,36.001324,34.926914,40.039112,95.215485,74.104225,83.070984
5420,36.107445,33.97523,38.225372,83.923836,75.704796,80.22412
5421,37.878353,34.694527,38.729694,81.76704,84.65762,86.99584
5422,37.6665,33.45325,38.35399,87.848854,86.01332,86.26933
5423,39.904827,35.497917,39.882397,87.91174,99.6308,94.61764
5424,37.446465,33.50617,37.10437,88.06451,100.058395,98.40132
5425,35.072037,32.49411,35.235474,78.41767,92.227875,91.88795
5426,33.193554,31.615,34.490093,74.91307,89.11571,85.71394
5427,31.290037,29.586744,31.94937,82.80727,97.25642,93.08642
5428,31.673328,29.055828,31.981213,88.274,96.87892,93.21443
5429,29.734196,26.018635,30.497948,99.69006,85.909966,85.44418
5430,27.748623,24.498121,28.44426,104.97894,78.19194,89.46503
5431,28.121223,24.630907,26.999302,106.77862,85.93064,89.285706
5432,33.445377,27.832668,33.368214,97.40512,101.7954,92.35548
5433,37.423058,29.538473,35.038376,103.29603,104.12137,96.69617
5434,35.867207,27.614227,32.15552,100.56509,99.47832,100.3354
5435,33.084785,26.04924,29.93747,90.39769,94.164604,100.84306
5436,31.179976,24.755009,29.054558,96.756355,90.59328,108.87606
5437,34.864452,31.077776,31.355024,100.23917,83.10783,102.76839
5438,40.4706,35.901863,35.842846,98.97192,78.82977,89.59691
5439,39.45984,35.709625,35.833344,96.51958,74.986176,84.52924
5440,35.145733,31.07346,32.30514,88.53172,73.65926,84.890945
5441,37.213924,32.02265,33.364117,79.86737,75.001144,92.6934
5442,38.09458,33.295002,33.40531,79.72578,76.07686,94.67422
5443,37.982105,31.239359,32.690506,75.86994,75.33506,86.88554
5444,37.815414,30.585722,32.66709,79.0031,71.66076,78.48605
5445,33.733986,29.32377,30.478022,81.312515,71.40292,84.306656
5446,40.172684,35.800426,35.421295,80.14635,70.47031,82.19857
5447,44.691547,40.64692,40.756413,74.79566,67.51785,80.25704
5448,42.4345,41.271732,41.352318,72.27417,63.90877,72.192795
5449,42.21061,40.868126,43.276928,67.936226,60.06,72.88556
5450,42.250313,40.032204,43.29367,70.95465,63.98595,75.16581
5451,38.40921,37.239155,39.58803,83.66774,60.029636,72.43264
5452,34.126865,33.20748,35.06596,88.41506,56.897484,64.80337
5453,32.512115,33.042683,32.5309,87.78835,59.949883,66.014755
5454,29.01525,30.958828,32.89129,80.47993,59.515377,64.82911
5455,28.04368,30.34288,31.648876,81.94317,60.92615,64.77596
5456,24.934593,27.81203,28.131176,87.33039,73.838394,83.36922
