,Segment Start Time,Segment End Time,Time of Max Velocity,Max Velocity,Median Velocity,Last Velocity,Broke Lock
52,1266364818.0,1266451218.0,1266439410.0,503.70782470703125,174.69004821777344,171.847412109375,No
53,1266451218.0,1266460308.0,1266458146.0,269.8240661621094,128.0037384033203,136.7470245361328,No
54,1266466131.0,1266492246.0,1266476224.0,937.2605590820312,119.4102783203125,108.39517211914062,No
55,1266493497.0,1266514078.0,1266512685.0,1833.3919677734375,111.15286254882812,460.9089050292969,No
56,1266519010.0,1266537618.0,1266531961.0,297.36248779296875,111.35040283203125,131.07383728027344,No
57,1266537618.0,1266608323.0,1266570312.0,428.8603820800781,118.65165710449219,155.81729125976562,No
58,1266613312.0,1266624018.0,1266617486.0,417.33856201171875,114.65333557128906,108.24297332763672,No
59,1266624018.0,1266678739.0,1266676322.0,516.2813720703125,113.75358581542969,151.83221435546875,No
60,1266699015.0,1266710418.0,1266704220.0,295.3782958984375,133.93345642089844,109.55925750732422,No
61,1266710418.0,1266796818.0,1266759089.0,878.1519165039062,284.0770568847656,345.9476318359375,No
62,1266796818.0,1266807001.0,1266796913.0,496.490478515625,269.4047546386719,261.0790710449219,No
63,1266821503.0,1266828200.0,1266821582.0,422.0653991699219,238.47857666015625,183.65806579589844,No
64,1266832817.0,1266868244.0,1266841234.0,433.02398681640625,192.68392944335938,151.14300537109375,No
65,1266879278.0,1266880473.0,1266880022.0,211.70021057128906,136.5238037109375,161.52093505859375,No
66,1266884232.0,1266969618.0,1266914025.0,1585.659912109375,151.819091796875,172.3164520263672,No
67,1266969618.0,1267056018.0,1267042716.0,942.347900390625,102.25375366210938,106.92809295654297,No
68,1267056018.0,1267140567.0,1267122339.0,357.9527282714844,114.16099548339844,137.14669799804688,No
69,1267158423.0,1267228818.0,1267161623.0,383.6885986328125,167.88330078125,201.46292114257812,No
70,1267228818.0,1267283098.0,1267229024.0,330.07275390625,140.4387664794922,232.70236206054688,No
71,1267306352.0,1267312749.0,1267307698.0,417.9278564453125,160.9647216796875,136.56924438476562,No
72,1267317476.0,1267318698.0,1267317766.0,216.1549835205078,129.0534210205078,148.61988830566406,No
73,1267320429.0,1267397658.0,1267395001.0,806.5836181640625,136.353271484375,169.2285614013672,No
74,1267403983.0,1267488018.0,1267406530.0,594.442138671875,223.66989135742188,175.40989685058594,No
75,1267488018.0,1267489106.0,1267489089.0,278.1568298339844,178.55030822753906,276.1420593261719,Yes
76,1267493378.0,1267531762.0,1267531310.0,1186.5439453125,154.90267944335938,496.4703674316406,No
77,1267532150.0,1267574418.0,1267544226.0,626.8139038085938,208.7728729248047,237.97186279296875,No
78,1267574418.0,1267589096.0,1267588629.0,1425.1812744140625,169.35150146484375,1037.409423828125,No
79,1267594644.0,1267660818.0,1267598896.0,703.2954711914062,221.7340850830078,151.66552734375,No
80,1267660818.0,1267747218.0,1267742432.0,461.79315185546875,146.74191284179688,163.16456604003906,No
81,1267747218.0,1267758959.0,1267758887.0,1928.361328125,203.68280029296875,2056.489501953125,No
82,1267766009.0,1267774194.0,1267772131.0,658.4110107421875,196.44967651367188,187.99386596679688,No
83,1267779131.0,1267833618.0,1267824229.0,472.589111328125,201.36856079101562,222.51014709472656,No
84,1267833618.0,1267835282.0,1267833950.0,334.82318115234375,203.98529052734375,193.98655700683594,No
85,1267840520.0,1267884095.0,1267875125.0,878.07666015625,185.1086883544922,198.4926300048828,No
86,1267903213.0,1267910668.0,1267908401.0,447.5718078613281,163.24240112304688,142.18807983398438,No
87,1267910670.0,1267920018.0,1267915385.0,267.67877197265625,141.7335205078125,140.95787048339844,No
88,1268524818.0,1268572799.0,1268572766.0,3146.900146484375,91.50999450683594,2072.461181640625,Yes
89,1268578865.0,1268611218.0,1268589984.0,3201.901123046875,161.42031860351562,114.37220764160156,No
90,1268611218.0,1268621883.0,1268615499.0,514.40673828125,151.15805053710938,151.18521118164062,No
91,1268624074.0,1268697618.0,1268686638.0,649.4642333984375,139.04244995117188,116.44789123535156,No
92,1268697618.0,1268770947.0,1268707644.0,658.4754028320312,128.57196044921875,117.37291717529297,No
93,1268772872.0,1268784018.0,1268774904.0,387.35302734375,106.95906829833984,99.21723937988281,No
94,1268784018.0,1268870189.0,1268790081.0,880.4425048828125,144.1236572265625,172.4315948486328,No
95,1268872397.0,1268956818.0,1268952876.0,2747.26513671875,174.89988708496094,271.6304016113281,No
96,1268956818.0,1269012469.0,1268957236.0,433.9012756347656,119.63046264648438,145.77748107910156,No
97,1269015591.0,1269038034.0,1269033711.0,299.5618591308594,129.68707275390625,142.8476104736328,No
98,1269040954.0,1269043218.0,1269041900.0,174.2541961669922,112.68827056884766,104.89651489257812,No
99,1269129618.0,1269140510.0,1269140508.0,12463.9228515625,145.41197204589844,14226.318359375,Yes
100,1269158194.0,1269210522.0,1269205698.0,697.85791015625,127.84575653076172,113.14762115478516,No
101,1269210524.0,1269216018.0,1269214067.0,343.77105712890625,116.73029327392578,125.2612075805664,No
102,1269216018.0,1269296088.0,1269271766.0,958.177978515625,138.93695068359375,192.64527893066406,No
103,1269306782.0,1269363618.0,1269321258.0,322.1300354003906,138.55931091308594,139.91432189941406,No
