,Date,Segment Start Time,Segment End Time,Time of Max Velocity,Max Velocity,Median Velocity,Last Velocity,Broke Lock
50,2020-02-21,1266278418,1266342822,1266318377,716.4728393554688,327.097412109375,210.28549194335938,No
51,2020-02-21,1266350260,1266364818,1266357110,692.8751220703125,231.48471069335938,204.03607177734375,No
52,2020-02-22,1266364818,1266451218,1266439410,503.70782470703125,174.69004821777344,171.847412109375,No
53,2020-02-23,1266451218,1266460308,1266458146,269.8240661621094,128.0037384033203,136.7470245361328,No
54,2020-02-23,1266466131,1266492246,1266476224,937.2605590820312,119.4102783203125,108.39517211914062,No
55,2020-02-23,1266493497,1266514078,1266512685,1833.3919677734375,111.15286254882812,460.9089050292969,No
56,2020-02-23,1266519010,1266537618,1266531961,297.36248779296875,111.35040283203125,131.07383728027344,No
57,2020-02-24,1266537618,1266608323,1266570312,428.8603820800781,118.65165710449219,155.81729125976562,No
58,2020-02-24,1266613312,1266624018,1266617486,417.33856201171875,114.65333557128906,108.24297332763672,No
59,2020-02-25,1266624018,1266678739,1266676322,516.2813720703125,113.75358581542969,151.83221435546875,No
60,2020-02-25,1266699015,1266710418,1266704220,295.3782958984375,133.93345642089844,109.55925750732422,No
61,2020-02-26,1266710418,1266796818,1266759089,878.1519165039062,284.0770568847656,345.9476318359375,No
