,ETMX_Z,ITMY_Z,ETMY_Z,ETMX_X,ITMY_Y,ETMY_Y
103,35.831944,36.358673,38.546158,90.76366,159.76697,162.0959
104,35.834393,36.338215,39.396057,81.781975,164.30174,169.58028
105,37.280487,34.63185,37.6065,82.26664,146.38301,161.02835
106,37.684765,32.555233,35.241028,77.66032,122.83366,134.45445
107,38.138477,37.395805,37.064686,78.3316,108.76444,121.12546
108,39.192394,38.404423,38.68685,89.711975,140.42232,145.65262
109,41.78746,38.772182,41.824734,104.426155,132.95549,140.2681
110,39.255653,35.340515,38.655613,109.06332,144.99362,155.97505
111,34.567177,35.491333,37.249382,118.2453,140.33702,149.75757
112,34.495903,35.68897,38.41508,131.38892,129.27509,131.79616
113,34.18549,31.674135,37.279716,131.06024,117.30003,115.40114
114,32.303684,30.507826,34.191097,126.24385,112.779884,111.43872
115,31.249043,31.550838,35.362843,116.576515,120.28214,120.73433
116,30.8228,30.480757,35.298126,106.89483,156.14272,151.09038
117,37.792675,39.152714,42.055378,97.4048,149.64029,147.10246
118,38.27667,39.04755,40.38142,105.89229,137.63281,136.37831
119,34.94866,37.1697,37.71181,98.56525,125.50821,128.01782
120,35.959064,37.57707,37.198734,107.696236,113.912445,110.72461
121,33.44659,34.203285,35.987694,104.31311,106.496895,107.408966
122,28.57234,31.066193,35.952393,119.7019,121.67487,118.91609
123,34.380466,33.99877,37.434547,111.58781,113.09077,111.7016
124,36.483288,33.844856,37.70521,100.36758,110.922356,106.74016
125,37.79177,35.216213,35.604305,100.114365,96.47312,92.58748
126,39.21532,37.491474,42.449284,96.969955,90.95004,88.999306
127,43.043736,39.82983,47.963303,91.81069,104.97005,110.4708
128,39.96368,37.663246,44.027527,86.9511,113.02237,110.96645
129,34.2826,33.2648,37.891415,89.6351,124.414764,122.297165
130,31.59829,30.112911,33.76146,91.49525,120.80933,122.8008
131,34.173058,33.956306,36.33606,92.15106,105.55047,106.555305
132,39.090393,35.81924,35.66903,107.981445,103.184425,102.81714
133,37.070618,32.89982,33.980663,118.32328,102.63409,114.29606
134,35.621136,29.300043,34.325188,117.337204,102.553276,115.03764
135,42.027374,32.045906,38.211758,113.20563,112.66399,114.56996
136,39.86944,30.448267,35.982426,114.77946,117.5743,118.62795
137,36.267643,32.46804,35.75166,108.304306,115.28311,114.19213
